concept_id,type,text_id,text_name
2001300001,Vocabulary,NCSPfi,NCSP Finnish modification
2001300002,Concept Class,NCSPfi Level 0,NCSP Finnish modification Hierarchy Level 0
2001300003,Concept Class,NCSPfi Level 1,NCSP Finnish modification Hierarchy Level 1
2001300004,Concept Class,NCSPfi Level 2,NCSP Finnish modification Hierarchy Level 2
2001300005,Concept Class,NCSPfi Level 3,NCSP Finnish modification Hierarchy Level 3
2001300006,Concept Class,NCSPfi Level 4,NCSP Finnish modification Hierarchy Level 4
2001300007,Concept Class,NCSPfi Level 5,NCSP Finnish modification Hierarchy Level 5
